,Kernel,Kernel_iterations,warps_per_thread_block,right_matrices_per_thread,rows_per_thread,distribution_type,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,10011,149817,4,2,8,triangle,multimat-right-work-distribution,4_2_8_triangle,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
0,16327,91868,4,2,16,rectangle,multimat-right-work-distribution,4_2_16_rectangle,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
0,16018,93658,4,2,16,triangle,multimat-right-work-distribution,4_2_16_triangle,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
0,6450,232541,4,4,1,rectangle,multimat-right-work-distribution,4_4_1_rectangle,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
0,5788,259123,4,4,1,triangle,multimat-right-work-distribution,4_4_1_triangle,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
0,7657,195875,4,4,4,rectangle,multimat-right-work-distribution,4_4_4_rectangle,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
0,7180,208879,4,4,4,triangle,multimat-right-work-distribution,4_4_4_triangle,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
0,10642,140932,4,4,8,rectangle,multimat-right-work-distribution,4_4_8_rectangle,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
0,10800,138885,4,4,8,triangle,multimat-right-work-distribution,4_4_8_triangle,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
0,17906,83765,4,4,16,rectangle,multimat-right-work-distribution,4_4_16_rectangle,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
0,17432,86046,4,4,16,triangle,multimat-right-work-distribution,4_4_16_triangle,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
0,6528,230230,4,8,1,rectangle,multimat-right-work-distribution,4_8_1_rectangle,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
0,5791,259100,4,8,1,triangle,multimat-right-work-distribution,4_8_1_triangle,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
0,7655,195917,4,8,4,rectangle,multimat-right-work-distribution,4_8_4_rectangle,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
0,7024,213519,4,8,4,triangle,multimat-right-work-distribution,4_8_4_triangle,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
0,10373,144606,4,8,8,rectangle,multimat-right-work-distribution,4_8_8_rectangle,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
0,10515,142825,4,8,8,triangle,multimat-right-work-distribution,4_8_8_triangle,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
0,17311,86644,4,8,16,rectangle,multimat-right-work-distribution,4_8_16_rectangle,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
0,16885,88861,4,8,16,triangle,multimat-right-work-distribution,4_8_16_triangle,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
0,7069,212235,8,1,1,rectangle,multimat-right-work-distribution,8_1_1_rectangle,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
0,6587,227688,8,1,1,triangle,multimat-right-work-distribution,8_1_1_triangle,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
0,8773,170955,8,1,4,rectangle,multimat-right-work-distribution,8_1_4_rectangle,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
0,7048,212796,8,1,4,triangle,multimat-right-work-distribution,8_1_4_triangle,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
0,10421,143902,8,1,8,rectangle,multimat-right-work-distribution,8_1_8_rectangle,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
0,10329,145213,8,1,8,triangle,multimat-right-work-distribution,8_1_8_triangle,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
0,17278,86817,8,1,16,rectangle,multimat-right-work-distribution,8_1_16_rectangle,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
0,16520,90791,8,1,16,triangle,multimat-right-work-distribution,8_1_16_triangle,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
0,7230,207600,8,2,1,rectangle,multimat-right-work-distribution,8_2_1_rectangle,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
0,5780,259485,8,2,1,triangle,multimat-right-work-distribution,8_2_1_triangle,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
0,7818,191892,8,2,4,rectangle,multimat-right-work-distribution,8_2_4_rectangle,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
0,7964,188335,8,2,4,triangle,multimat-right-work-distribution,8_2_4_triangle,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
0,11743,127750,8,2,8,rectangle,multimat-right-work-distribution,8_2_8_rectangle,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
0,11722,128016,8,2,8,triangle,multimat-right-work-distribution,8_2_8_triangle,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
0,19815,75706,8,2,16,rectangle,multimat-right-work-distribution,8_2_16_rectangle,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
0,19679,76228,8,2,16,triangle,multimat-right-work-distribution,8_2_16_triangle,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
0,7289,205716,8,4,1,rectangle,multimat-right-work-distribution,8_4_1_rectangle,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
0,5780,259481,8,4,1,triangle,multimat-right-work-distribution,8_4_1_triangle,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
0,7916,189458,8,4,4,rectangle,multimat-right-work-distribution,8_4_4_rectangle,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
0,8032,186741,8,4,4,triangle,multimat-right-work-distribution,8_4_4_triangle,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
0,11886,126178,8,4,8,rectangle,multimat-right-work-distribution,8_4_8_rectangle,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
0,11902,126025,8,4,8,triangle,multimat-right-work-distribution,8_4_8_triangle,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
0,20112,74578,8,4,16,rectangle,multimat-right-work-distribution,8_4_16_rectangle,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
0,20227,74164,8,4,16,triangle,multimat-right-work-distribution,8_4_16_triangle,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
0,7335,204696,8,8,1,rectangle,multimat-right-work-distribution,8_8_1_rectangle,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
0,5780,259472,8,8,1,triangle,multimat-right-work-distribution,8_8_1_triangle,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
