,Kernel,Kernel_iterations,warps_per_thread_block,right_matrices_per_thread,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
9,2393299,63,8,8,multimat-right,8_8,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
0,63648427,3,4,1,multimat-right,4_1,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
1,63647745,3,4,1,multimat-right,4_1,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
2,63648768,3,4,1,multimat-right,4_1,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
3,63649108,3,4,1,multimat-right,4_1,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
4,63649449,3,4,1,multimat-right,4_1,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
5,63650477,3,4,1,multimat-right,4_1,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
6,63649790,3,4,1,multimat-right,4_1,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
7,63648768,3,4,1,multimat-right,4_1,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
8,63651499,3,4,1,multimat-right,4_1,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
9,63648427,3,4,1,multimat-right,4_1,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
0,43686912,4,4,2,multimat-right,4_2,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
1,43680767,4,4,2,multimat-right,4_2,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
2,43795967,4,4,2,multimat-right,4_2,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
3,43809280,4,4,2,multimat-right,4_2,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
4,43682048,4,4,2,multimat-right,4_2,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
5,43797504,4,4,2,multimat-right,4_2,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
6,43854591,4,4,2,multimat-right,4_2,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
7,43843326,4,4,2,multimat-right,4_2,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
8,43771392,4,4,2,multimat-right,4_2,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
9,43874046,4,4,2,multimat-right,4_2,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
0,33033624,5,4,4,multimat-right,4_4,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
1,33006796,5,4,4,multimat-right,4_4,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
2,33002496,5,4,4,multimat-right,4_4,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
3,33095886,5,4,4,multimat-right,4_4,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
4,32975872,5,4,4,multimat-right,4_4,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
5,33115136,5,4,4,multimat-right,4_4,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
6,33041409,5,4,4,multimat-right,4_4,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
7,33059429,5,4,4,multimat-right,4_4,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
8,33073358,5,4,4,multimat-right,4_4,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
9,33127218,5,4,4,multimat-right,4_4,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
0,27751083,6,4,8,multimat-right,4_8,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
1,27775830,6,4,8,multimat-right,4_8,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
2,27702100,6,4,8,multimat-right,4_8,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
3,27777023,6,4,8,multimat-right,4_8,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
4,27780609,6,4,8,multimat-right,4_8,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
5,27774121,6,4,8,multimat-right,4_8,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
6,27698005,6,4,8,multimat-right,4_8,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
7,27785044,6,4,8,multimat-right,4_8,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
8,27682815,6,4,8,multimat-right,4_8,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
9,27741355,6,4,8,multimat-right,4_8,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
0,63662078,3,8,1,multimat-right,8_1,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
1,63663787,3,8,1,multimat-right,8_1,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
2,63664128,3,8,1,multimat-right,8_1,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
3,63747756,3,8,1,multimat-right,8_1,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
4,63665150,3,8,1,multimat-right,8_1,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
5,63665491,3,8,1,multimat-right,8_1,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
6,63666178,3,8,1,multimat-right,8_1,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
7,63664128,3,8,1,multimat-right,8_1,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
8,63664810,3,8,1,multimat-right,8_1,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
9,63664128,3,8,1,multimat-right,8_1,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
0,43336704,4,8,2,multimat-right,8_2,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
1,43484416,4,8,2,multimat-right,8_2,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
2,43476478,4,8,2,multimat-right,8_2,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
3,43383041,4,8,2,multimat-right,8_2,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
4,43510528,4,8,2,multimat-right,8_2,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
5,43469055,4,8,2,multimat-right,8_2,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
6,43460094,4,8,2,multimat-right,8_2,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
7,43456256,4,8,2,multimat-right,8_2,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
8,43374847,4,8,2,multimat-right,8_2,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
9,43368961,4,8,2,multimat-right,8_2,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
