,Kernel,Kernel_iterations,warps_per_thread_block,shifts_per_thread_right_matrix,right_matrices_per_thread,left_rows_per_iteration,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
7,390606,385,4,1,2,2,multimat-right-multirow-both,4_2_1_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
8,390609,385,4,1,2,2,multimat-right-multirow-both,4_2_1_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
9,390901,384,4,1,2,2,multimat-right-multirow-both,4_2_1_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
0,388265,387,4,1,2,4,multimat-right-multirow-both,4_2_1_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
1,388604,387,4,1,2,4,multimat-right-multirow-both,4_2_1_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
2,388362,387,4,1,2,4,multimat-right-multirow-both,4_2_1_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
3,388328,387,4,1,2,4,multimat-right-multirow-both,4_2_1_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
4,388337,387,4,1,2,4,multimat-right-multirow-both,4_2_1_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
5,388328,387,4,1,2,4,multimat-right-multirow-both,4_2_1_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
6,388347,387,4,1,2,4,multimat-right-multirow-both,4_2_1_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
7,388944,387,4,1,2,4,multimat-right-multirow-both,4_2_1_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
8,390650,384,4,1,2,4,multimat-right-multirow-both,4_2_1_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
9,390618,384,4,1,2,4,multimat-right-multirow-both,4_2_1_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
0,301885,501,4,2,2,1,multimat-right-multirow-both,4_2_2_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
1,302781,495,4,2,2,1,multimat-right-multirow-both,4_2_2_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
2,302883,497,4,2,2,1,multimat-right-multirow-both,4_2_2_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
3,302968,498,4,2,2,1,multimat-right-multirow-both,4_2_2_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
4,303889,497,4,2,2,1,multimat-right-multirow-both,4_2_2_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
5,301542,501,4,2,2,1,multimat-right-multirow-both,4_2_2_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
6,301135,501,4,2,2,1,multimat-right-multirow-both,4_2_2_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
7,301460,499,4,2,2,1,multimat-right-multirow-both,4_2_2_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
8,301567,498,4,2,2,1,multimat-right-multirow-both,4_2_2_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
9,301720,498,4,2,2,1,multimat-right-multirow-both,4_2_2_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
0,265380,568,4,2,2,2,multimat-right-multirow-both,4_2_2_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
