,Kernel,Kernel_iterations,warps_per_thread_block,left_matrices_per_thread,right_matrices_per_thread,rows_per_thread,distribution_type,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
2,13473,111355,4,1,2,8,triangle,multimat-both-work-distribution,4_1_2_8_triangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
3,13474,111355,4,1,2,8,triangle,multimat-both-work-distribution,4_1_2_8_triangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
4,13473,111353,4,1,2,8,triangle,multimat-both-work-distribution,4_1_2_8_triangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
5,13473,111354,4,1,2,8,triangle,multimat-both-work-distribution,4_1_2_8_triangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
6,13473,111362,4,1,2,8,triangle,multimat-both-work-distribution,4_1_2_8_triangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
7,13473,111362,4,1,2,8,triangle,multimat-both-work-distribution,4_1_2_8_triangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
8,13473,111358,4,1,2,8,triangle,multimat-both-work-distribution,4_1_2_8_triangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
9,13474,111355,4,1,2,8,triangle,multimat-both-work-distribution,4_1_2_8_triangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
0,23274,64402,4,1,2,16,rectangle,multimat-both-work-distribution,4_1_2_16_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
1,23262,64439,4,1,2,16,rectangle,multimat-both-work-distribution,4_1_2_16_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
2,23261,64590,4,1,2,16,rectangle,multimat-both-work-distribution,4_1_2_16_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
3,23273,64436,4,1,2,16,rectangle,multimat-both-work-distribution,4_1_2_16_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
4,23255,64517,4,1,2,16,rectangle,multimat-both-work-distribution,4_1_2_16_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
5,23255,64433,4,1,2,16,rectangle,multimat-both-work-distribution,4_1_2_16_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
6,23257,64534,4,1,2,16,rectangle,multimat-both-work-distribution,4_1_2_16_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
7,23244,64465,4,1,2,16,rectangle,multimat-both-work-distribution,4_1_2_16_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
8,23243,64551,4,1,2,16,rectangle,multimat-both-work-distribution,4_1_2_16_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
9,23266,64573,4,1,2,16,rectangle,multimat-both-work-distribution,4_1_2_16_rectangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
0,23285,64416,4,1,2,16,triangle,multimat-both-work-distribution,4_1_2_16_triangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
1,23279,64447,4,1,2,16,triangle,multimat-both-work-distribution,4_1_2_16_triangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
2,23284,64447,4,1,2,16,triangle,multimat-both-work-distribution,4_1_2_16_triangle,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
