,Kernel,Kernel_iterations,warps_per_thread_block,rows_per_thread,distribution_type,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,1111018,1349,8,16,rectangle,basic-work_distribution,8_16_rectangle,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
0,1110401,1350,8,16,triangle,basic-work_distribution,8_16_triangle,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
0,3193102,474,4,1,rectangle,basic-work_distribution,4_1_rectangle,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one
0,3183901,474,4,1,triangle,basic-work_distribution,4_1_triangle,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one
0,3110714,483,4,2,rectangle,basic-work_distribution,4_2_rectangle,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one
0,3106511,484,4,2,triangle,basic-work_distribution,4_2_triangle,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one
0,3095188,485,4,4,rectangle,basic-work_distribution,4_4_rectangle,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one
0,3094388,485,4,4,triangle,basic-work_distribution,4_4_triangle,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one
0,3111974,483,4,8,rectangle,basic-work_distribution,4_8_rectangle,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one
0,3111119,483,4,8,triangle,basic-work_distribution,4_8_triangle,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one
0,3169033,474,4,16,rectangle,basic-work_distribution,4_16_rectangle,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one
0,3161098,475,4,16,triangle,basic-work_distribution,4_16_triangle,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one
0,3202705,472,8,1,rectangle,basic-work_distribution,8_1_rectangle,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one
0,3190385,473,8,1,triangle,basic-work_distribution,8_1_triangle,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one
0,3115864,482,8,2,rectangle,basic-work_distribution,8_2_rectangle,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one
0,3113608,483,8,2,triangle,basic-work_distribution,8_2_triangle,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one
0,3100083,484,8,4,rectangle,basic-work_distribution,8_4_rectangle,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one
0,3098816,484,8,4,triangle,basic-work_distribution,8_4_triangle,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one
0,3123508,481,8,8,rectangle,basic-work_distribution,8_8_rectangle,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one
0,3123936,481,8,8,triangle,basic-work_distribution,8_8_triangle,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one
0,3190040,471,8,16,rectangle,basic-work_distribution,8_16_rectangle,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one
0,3184611,472,8,16,triangle,basic-work_distribution,8_16_triangle,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one
