,Kernel,Kernel_iterations,shifts_per_thread_block,rows_per_warp,distribution_type,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,651265,2303,32,16,triangle,warp-per-shift-work-distribution,32_16_triangle,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,9558961,157,4,1,triangle,warp-per-shift-work-distribution,4_1_triangle,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
0,3282733,457,4,8,rectangle,warp-per-shift-work-distribution,4_8_rectangle,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
0,3325215,452,4,8,triangle,warp-per-shift-work-distribution,4_8_triangle,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
0,2798210,537,4,16,rectangle,warp-per-shift-work-distribution,4_16_rectangle,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
0,2889800,520,4,16,triangle,warp-per-shift-work-distribution,4_16_triangle,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
0,9627287,156,16,1,triangle,warp-per-shift-work-distribution,16_1_triangle,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
0,3208399,468,16,8,rectangle,warp-per-shift-work-distribution,16_8_rectangle,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
0,3337598,450,16,8,triangle,warp-per-shift-work-distribution,16_8_triangle,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
0,2776327,541,16,16,rectangle,warp-per-shift-work-distribution,16_16_rectangle,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
0,2893804,519,16,16,triangle,warp-per-shift-work-distribution,16_16_triangle,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
0,10384567,100,32,1,triangle,warp-per-shift-work-distribution,32_1_triangle,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
0,3286573,457,32,8,rectangle,warp-per-shift-work-distribution,32_8_rectangle,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
0,3419595,439,32,8,triangle,warp-per-shift-work-distribution,32_8_triangle,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
0,2814989,533,32,16,rectangle,warp-per-shift-work-distribution,32_16_rectangle,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
0,2932806,512,32,16,triangle,warp-per-shift-work-distribution,32_16_triangle,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
0,9609124,157,4,8,rectangle,warp-per-shift-work-distribution,4_8_rectangle,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one
0,9748965,154,4,8,triangle,warp-per-shift-work-distribution,4_8_triangle,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one
0,8443202,178,4,16,rectangle,warp-per-shift-work-distribution,4_16_rectangle,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one
0,8701650,173,4,16,triangle,warp-per-shift-work-distribution,4_16_triangle,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one
0,9401318,160,16,8,rectangle,warp-per-shift-work-distribution,16_8_rectangle,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one
0,9763667,154,16,8,triangle,warp-per-shift-work-distribution,16_8_triangle,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one
0,8354099,180,16,16,rectangle,warp-per-shift-work-distribution,16_16_rectangle,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one
0,8695447,173,16,16,triangle,warp-per-shift-work-distribution,16_16_triangle,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one
0,9569769,157,32,8,rectangle,warp-per-shift-work-distribution,32_8_rectangle,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one
0,9945413,151,32,8,triangle,warp-per-shift-work-distribution,32_8_triangle,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one
0,8420226,179,32,16,rectangle,warp-per-shift-work-distribution,32_16_rectangle,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one
0,8769893,172,32,16,triangle,warp-per-shift-work-distribution,32_16_triangle,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one
