,Kernel,Kernel_iterations,warps_per_thread_block,right_matrices_per_thread,rows_per_thread,distribution_type,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,13916,107760,8,2,8,rectangle,multimat-right-work-distribution,8_2_8_rectangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,13890,107977,8,2,8,triangle,multimat-right-work-distribution,8_2_8_triangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,22890,64909,8,2,16,rectangle,multimat-right-work-distribution,8_2_16_rectangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,22993,64627,8,2,16,triangle,multimat-right-work-distribution,8_2_16_triangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,7198,208202,8,4,1,rectangle,multimat-right-work-distribution,8_4_1_rectangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,6814,219052,8,4,1,triangle,multimat-right-work-distribution,8_4_1_triangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,13547,110648,8,4,4,rectangle,multimat-right-work-distribution,8_4_4_rectangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,13632,110045,8,4,4,triangle,multimat-right-work-distribution,8_4_4_triangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,22658,65543,8,4,8,rectangle,multimat-right-work-distribution,8_4_8_rectangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,22944,64806,8,4,8,triangle,multimat-right-work-distribution,8_4_8_triangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,40966,36441,8,4,16,rectangle,multimat-right-work-distribution,8_4_16_rectangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,40916,36426,8,4,16,triangle,multimat-right-work-distribution,8_4_16_triangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,8249,181806,8,8,1,rectangle,multimat-right-work-distribution,8_8_1_rectangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,8269,181452,8,8,1,triangle,multimat-right-work-distribution,8_8_1_triangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,18828,79555,8,8,4,rectangle,multimat-right-work-distribution,8_8_4_rectangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,19166,78130,8,8,4,triangle,multimat-right-work-distribution,8_8_4_triangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,32903,45274,8,8,8,rectangle,multimat-right-work-distribution,8_8_8_rectangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
