,Kernel,Kernel_iterations,warps_per_thread_block,shifts_per_thread_right_matrix,right_matrices_per_thread,left_rows_per_iteration,num_cuda_streams,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
6,45107,3323,4,2,2,1,20,multimat-right-multirow-both,4_2_2_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
7,45055,3325,4,2,2,1,20,multimat-right-multirow-both,4_2_2_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
8,45053,3329,4,2,2,1,20,multimat-right-multirow-both,4_2_2_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
9,45059,3326,4,2,2,1,20,multimat-right-multirow-both,4_2_2_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
0,30120,4958,4,2,2,2,20,multimat-right-multirow-both,4_2_2_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
1,30144,4952,4,2,2,2,20,multimat-right-multirow-both,4_2_2_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
2,30173,4920,4,2,2,2,20,multimat-right-multirow-both,4_2_2_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
3,30186,4961,4,2,2,2,20,multimat-right-multirow-both,4_2_2_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
4,30163,4957,4,2,2,2,20,multimat-right-multirow-both,4_2_2_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
5,30129,4947,4,2,2,2,20,multimat-right-multirow-both,4_2_2_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
6,30110,4956,4,2,2,2,20,multimat-right-multirow-both,4_2_2_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
7,30125,4971,4,2,2,2,20,multimat-right-multirow-both,4_2_2_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
8,30178,4956,4,2,2,2,20,multimat-right-multirow-both,4_2_2_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
9,30133,4977,4,2,2,2,20,multimat-right-multirow-both,4_2_2_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
0,32008,4667,4,2,2,4,20,multimat-right-multirow-both,4_2_2_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
1,32138,4650,4,2,2,4,20,multimat-right-multirow-both,4_2_2_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
