,Kernel,Kernel_iterations,warps_per_thread_block,shifts_per_thread_right_matrix,right_matrices_per_thread,left_rows_per_iteration,num_cuda_streams,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
8,18836,7934,4,4,2,4,20,multimat-right-multirow-both,4_2_4_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
9,18848,7940,4,4,2,4,20,multimat-right-multirow-both,4_2_4_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
0,20128,7451,4,1,4,1,20,multimat-right-multirow-both,4_4_1_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
1,20147,7450,4,1,4,1,20,multimat-right-multirow-both,4_4_1_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
2,20190,7406,4,1,4,1,20,multimat-right-multirow-both,4_4_1_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
3,20200,7411,4,1,4,1,20,multimat-right-multirow-both,4_4_1_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
4,20178,7434,4,1,4,1,20,multimat-right-multirow-both,4_4_1_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
5,20195,7402,4,1,4,1,20,multimat-right-multirow-both,4_4_1_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
6,20212,7419,4,1,4,1,20,multimat-right-multirow-both,4_4_1_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
7,20211,7419,4,1,4,1,20,multimat-right-multirow-both,4_4_1_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
8,20173,7444,4,1,4,1,20,multimat-right-multirow-both,4_4_1_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
9,20196,7429,4,1,4,1,20,multimat-right-multirow-both,4_4_1_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
