,Kernel,Kernel_iterations,warps_per_thread_block,left_matrices_per_thread,right_matrices_per_thread,rows_per_thread,distribution_type,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
1,2316879,648,8,2,1,1,none,multimat-both,8_2_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
2,2316890,648,8,2,1,1,none,multimat-both,8_2_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
3,2316886,648,8,2,1,1,none,multimat-both,8_2_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
4,2316864,648,8,2,1,1,none,multimat-both,8_2_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
5,2316877,648,8,2,1,1,none,multimat-both,8_2_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
6,2316879,648,8,2,1,1,none,multimat-both,8_2_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
7,2316880,648,8,2,1,1,none,multimat-both,8_2_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
8,2316871,648,8,2,1,1,none,multimat-both,8_2_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
9,2316893,648,8,2,1,1,none,multimat-both,8_2_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
0,1413345,1067,8,2,2,1,none,multimat-both,8_2_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
1,1414817,1067,8,2,2,1,none,multimat-both,8_2_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
2,1414205,1067,8,2,2,1,none,multimat-both,8_2_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
3,1412992,1062,8,2,2,1,none,multimat-both,8_2_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
4,1414597,1067,8,2,2,1,none,multimat-both,8_2_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
5,1415184,1067,8,2,2,1,none,multimat-both,8_2_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
6,1412751,1063,8,2,2,1,none,multimat-both,8_2_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
7,1414438,1063,8,2,2,1,none,multimat-both,8_2_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
8,1415187,1067,8,2,2,1,none,multimat-both,8_2_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
