,Kernel,Kernel_iterations,warps_per_thread_block,rows_per_thread,distribution_type,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,4164022,362,4,16,rectangle,basic-work_distribution,4_16_rectangle,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one
0,4149021,362,4,16,triangle,basic-work_distribution,4_16_triangle,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one
0,4325037,348,8,1,rectangle,basic-work_distribution,8_1_rectangle,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one
0,4305188,350,8,1,triangle,basic-work_distribution,8_1_triangle,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one
0,4211176,356,8,2,rectangle,basic-work_distribution,8_2_rectangle,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one
0,4183921,360,8,2,triangle,basic-work_distribution,8_2_triangle,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one
0,4128714,362,8,4,rectangle,basic-work_distribution,8_4_rectangle,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one
0,4140136,364,8,4,triangle,basic-work_distribution,8_4_triangle,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one
0,4135273,363,8,8,rectangle,basic-work_distribution,8_8_rectangle,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one
0,4126180,366,8,8,triangle,basic-work_distribution,8_8_triangle,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one
0,4178892,360,8,16,rectangle,basic-work_distribution,8_16_rectangle,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one
0,4170871,360,8,16,triangle,basic-work_distribution,8_16_triangle,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one
