,Kernel,Kernel_iterations,warps_per_thread_block,shifts_per_thread_right_matrix,left_matrices_per_thread,right_matrices_per_thread,left_rows_per_iteration,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
5,32101,46726,4,4,1,2,1,multimat-both-multirow-both,4_1_2_4_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
6,32101,46727,4,4,1,2,1,multimat-both-multirow-both,4_1_2_4_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
7,32102,46727,4,4,1,2,1,multimat-both-multirow-both,4_1_2_4_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
8,32101,46726,4,4,1,2,1,multimat-both-multirow-both,4_1_2_4_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
9,32101,46728,4,4,1,2,1,multimat-both-multirow-both,4_1_2_4_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
0,38905,38571,4,4,1,2,2,multimat-both-multirow-both,4_1_2_4_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
1,38899,38558,4,4,1,2,2,multimat-both-multirow-both,4_1_2_4_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
2,38912,38558,4,4,1,2,2,multimat-both-multirow-both,4_1_2_4_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
3,38915,38547,4,4,1,2,2,multimat-both-multirow-both,4_1_2_4_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
4,38905,38535,4,4,1,2,2,multimat-both-multirow-both,4_1_2_4_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
5,38906,38575,4,4,1,2,2,multimat-both-multirow-both,4_1_2_4_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
6,38888,38576,4,4,1,2,2,multimat-both-multirow-both,4_1_2_4_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
7,38906,38565,4,4,1,2,2,multimat-both-multirow-both,4_1_2_4_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
8,38906,38539,4,4,1,2,2,multimat-both-multirow-both,4_1_2_4_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
9,38914,38545,4,4,1,2,2,multimat-both-multirow-both,4_1_2_4_2,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
