,Kernel,Kernel_iterations,warps_per_thread_block,shifts_per_thread_right_matrix,left_matrices_per_thread,right_matrices_per_thread,left_rows_per_iteration,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
8,2163895,697,4,2,1,2,1,multimat-both-multirow-both,4_1_2_2_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
9,2163887,694,4,2,1,2,1,multimat-both-multirow-both,4_1_2_2_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
0,1954642,785,4,2,1,2,2,multimat-both-multirow-both,4_1_2_2_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
1,1951143,769,4,2,1,2,2,multimat-both-multirow-both,4_1_2_2_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
2,1953657,770,4,2,1,2,2,multimat-both-multirow-both,4_1_2_2_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
3,1952674,768,4,2,1,2,2,multimat-both-multirow-both,4_1_2_2_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
4,1955028,765,4,2,1,2,2,multimat-both-multirow-both,4_1_2_2_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
5,1957550,768,4,2,1,2,2,multimat-both-multirow-both,4_1_2_2_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
6,1966235,768,4,2,1,2,2,multimat-both-multirow-both,4_1_2_2_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
7,1961951,766,4,2,1,2,2,multimat-both-multirow-both,4_1_2_2_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
8,1957909,769,4,2,1,2,2,multimat-both-multirow-both,4_1_2_2_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
9,1956781,765,4,2,1,2,2,multimat-both-multirow-both,4_1_2_2_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
0,1880501,815,4,2,1,2,4,multimat-both-multirow-both,4_1_2_2_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
1,1878204,798,4,2,1,2,4,multimat-both-multirow-both,4_1_2_2_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
2,1877743,800,4,2,1,2,4,multimat-both-multirow-both,4_1_2_2_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
3,1877698,799,4,2,1,2,4,multimat-both-multirow-both,4_1_2_2_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
4,1880178,798,4,2,1,2,4,multimat-both-multirow-both,4_1_2_2_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
5,1879794,797,4,2,1,2,4,multimat-both-multirow-both,4_1_2_2_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
6,1877794,798,4,2,1,2,4,multimat-both-multirow-both,4_1_2_2_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
7,1881553,797,4,2,1,2,4,multimat-both-multirow-both,4_1_2_2_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
8,1877747,802,4,2,1,2,4,multimat-both-multirow-both,4_1_2_2_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
9,1877892,798,4,2,1,2,4,multimat-both-multirow-both,4_1_2_2_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
0,1863214,820,4,4,1,2,1,multimat-both-multirow-both,4_1_2_4_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
1,1864037,804,4,4,1,2,1,multimat-both-multirow-both,4_1_2_4_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
2,1864640,805,4,4,1,2,1,multimat-both-multirow-both,4_1_2_4_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
3,1864750,806,4,4,1,2,1,multimat-both-multirow-both,4_1_2_4_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
4,1865219,806,4,4,1,2,1,multimat-both-multirow-both,4_1_2_4_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
5,1863876,806,4,4,1,2,1,multimat-both-multirow-both,4_1_2_4_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
6,1863996,805,4,4,1,2,1,multimat-both-multirow-both,4_1_2_4_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
7,1863117,809,4,4,1,2,1,multimat-both-multirow-both,4_1_2_4_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
8,1863665,804,4,4,1,2,1,multimat-both-multirow-both,4_1_2_4_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
9,1863232,808,4,4,1,2,1,multimat-both-multirow-both,4_1_2_4_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
0,1926878,765,4,4,1,2,2,multimat-both-multirow-both,4_1_2_4_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
1,1921960,781,4,4,1,2,2,multimat-both-multirow-both,4_1_2_4_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
2,1921947,781,4,4,1,2,2,multimat-both-multirow-both,4_1_2_4_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
3,1921830,781,4,4,1,2,2,multimat-both-multirow-both,4_1_2_4_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
4,1921751,781,4,4,1,2,2,multimat-both-multirow-both,4_1_2_4_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
5,1921842,781,4,4,1,2,2,multimat-both-multirow-both,4_1_2_4_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
6,1921665,781,4,4,1,2,2,multimat-both-multirow-both,4_1_2_4_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
7,1921743,781,4,4,1,2,2,multimat-both-multirow-both,4_1_2_4_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
8,1922023,781,4,4,1,2,2,multimat-both-multirow-both,4_1_2_4_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
9,1922086,781,4,4,1,2,2,multimat-both-multirow-both,4_1_2_4_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
0,1558023,989,4,4,1,2,4,multimat-both-multirow-both,4_1_2_4_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
1,1559021,965,4,4,1,2,4,multimat-both-multirow-both,4_1_2_4_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
