,Kernel,Kernel_iterations,warps_per_thread_block,rows_per_thread,distribution_type,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,927951,1698,4,1,triangle,basic-work_distribution,4_1_triangle,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
0,910722,1697,4,2,rectangle,basic-work_distribution,4_2_rectangle,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
0,907584,1699,4,2,triangle,basic-work_distribution,4_2_triangle,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
0,905189,1692,4,4,rectangle,basic-work_distribution,4_4_rectangle,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
0,905146,1687,4,4,triangle,basic-work_distribution,4_4_triangle,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
0,917958,1660,4,8,rectangle,basic-work_distribution,4_8_rectangle,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
0,912253,1668,4,8,triangle,basic-work_distribution,4_8_triangle,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
0,948284,1587,4,16,rectangle,basic-work_distribution,4_16_rectangle,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
0,941475,1612,4,16,triangle,basic-work_distribution,4_16_triangle,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
0,936205,1668,8,1,rectangle,basic-work_distribution,8_1_rectangle,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
0,929146,1685,8,1,triangle,basic-work_distribution,8_1_triangle,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
0,913048,1685,8,2,rectangle,basic-work_distribution,8_2_rectangle,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
0,909966,1700,8,2,triangle,basic-work_distribution,8_2_triangle,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
0,909179,1674,8,4,rectangle,basic-work_distribution,8_4_rectangle,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
0,906497,1686,8,4,triangle,basic-work_distribution,8_4_triangle,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
