,Kernel,Kernel_iterations,shifts_per_thread_block,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
5,301930,499,16,warp-per-shift-simple-indexing,16,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
6,297212,506,16,warp-per-shift-simple-indexing,16,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
7,289508,518,16,warp-per-shift-simple-indexing,16,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
8,289298,525,16,warp-per-shift-simple-indexing,16,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
9,290969,519,16,warp-per-shift-simple-indexing,16,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,288552,547,32,warp-per-shift-simple-indexing,32,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
1,291719,521,32,warp-per-shift-simple-indexing,32,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
2,292196,514,32,warp-per-shift-simple-indexing,32,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
3,292187,514,32,warp-per-shift-simple-indexing,32,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
4,296673,514,32,warp-per-shift-simple-indexing,32,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
5,300922,498,32,warp-per-shift-simple-indexing,32,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
6,299234,501,32,warp-per-shift-simple-indexing,32,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
7,294742,510,32,warp-per-shift-simple-indexing,32,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
8,293219,515,32,warp-per-shift-simple-indexing,32,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
9,293465,517,32,warp-per-shift-simple-indexing,32,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,1258844,100,4,warp-per-shift-simple-indexing,4,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
1,1534259,99,4,warp-per-shift-simple-indexing,4,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
2,1530125,98,4,warp-per-shift-simple-indexing,4,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
3,1522813,97,4,warp-per-shift-simple-indexing,4,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
4,1526422,97,4,warp-per-shift-simple-indexing,4,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
5,1539715,97,4,warp-per-shift-simple-indexing,4,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
6,1660364,89,4,warp-per-shift-simple-indexing,4,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
7,1662297,89,4,warp-per-shift-simple-indexing,4,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
8,1561855,92,4,warp-per-shift-simple-indexing,4,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
9,1550799,95,4,warp-per-shift-simple-indexing,4,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
0,1132124,100,16,warp-per-shift-simple-indexing,16,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
1,1210275,100,16,warp-per-shift-simple-indexing,16,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
2,1209241,100,16,warp-per-shift-simple-indexing,16,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
3,1207764,100,16,warp-per-shift-simple-indexing,16,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
4,1204652,100,16,warp-per-shift-simple-indexing,16,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
5,1203353,100,16,warp-per-shift-simple-indexing,16,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
6,1211258,100,16,warp-per-shift-simple-indexing,16,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
7,1306990,100,16,warp-per-shift-simple-indexing,16,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
8,1291763,100,16,warp-per-shift-simple-indexing,16,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
9,1264762,100,16,warp-per-shift-simple-indexing,16,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
0,1126082,100,32,warp-per-shift-simple-indexing,32,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
1,1192919,100,32,warp-per-shift-simple-indexing,32,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
