,Kernel,Kernel_iterations,shifts_per_thread_block,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
9,781669,192,32,warp-per-shift-simple-indexing,32,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,2959469,47,4,warp-per-shift-simple-indexing,4,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
1,2968174,51,4,warp-per-shift-simple-indexing,4,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
2,2968134,51,4,warp-per-shift-simple-indexing,4,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
3,2968214,51,4,warp-per-shift-simple-indexing,4,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
4,2968134,51,4,warp-per-shift-simple-indexing,4,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
5,2968254,51,4,warp-per-shift-simple-indexing,4,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
6,2968234,51,4,warp-per-shift-simple-indexing,4,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
7,2985682,51,4,warp-per-shift-simple-indexing,4,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
8,2989629,50,4,warp-per-shift-simple-indexing,4,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
9,2983424,50,4,warp-per-shift-simple-indexing,4,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
0,2967442,47,16,warp-per-shift-simple-indexing,16,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
1,2947774,51,16,warp-per-shift-simple-indexing,16,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
2,2947935,51,16,warp-per-shift-simple-indexing,16,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
3,2948035,51,16,warp-per-shift-simple-indexing,16,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
4,2947855,51,16,warp-per-shift-simple-indexing,16,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
5,2948095,51,16,warp-per-shift-simple-indexing,16,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
6,2947895,51,16,warp-per-shift-simple-indexing,16,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
7,2947553,51,16,warp-per-shift-simple-indexing,16,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
8,2947855,51,16,warp-per-shift-simple-indexing,16,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
9,2947814,51,16,warp-per-shift-simple-indexing,16,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
0,2953877,48,32,warp-per-shift-simple-indexing,32,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
1,2953135,51,32,warp-per-shift-simple-indexing,32,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
