,Kernel,Kernel_iterations,shifts_per_thread_block,rows_per_warp,distribution_type,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,338605,4420,16,8,rectangle,warp-per-shift-work-distribution,16_8_rectangle,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,350171,4243,16,8,triangle,warp-per-shift-work-distribution,16_8_triangle,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,272514,5512,16,16,rectangle,warp-per-shift-work-distribution,16_16_rectangle,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,284218,5287,16,16,triangle,warp-per-shift-work-distribution,16_16_triangle,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,1335277,1119,32,1,rectangle,warp-per-shift-work-distribution,32_1_rectangle,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,1360896,1100,32,1,triangle,warp-per-shift-work-distribution,32_1_triangle,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,352367,4240,32,8,rectangle,warp-per-shift-work-distribution,32_8_rectangle,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,364777,4062,32,8,triangle,warp-per-shift-work-distribution,32_8_triangle,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,281173,5258,32,16,rectangle,warp-per-shift-work-distribution,32_16_rectangle,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,292137,5056,32,16,triangle,warp-per-shift-work-distribution,32_16_triangle,96_96_1_1,18432,96,96,9216,1,1,1x1,one_to_one
0,4084122,367,4,1,rectangle,warp-per-shift-work-distribution,4_1_rectangle,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,3215379,467,4,1,triangle,warp-per-shift-work-distribution,4_1_triangle,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,1009581,1479,4,8,rectangle,warp-per-shift-work-distribution,4_8_rectangle,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,947052,1576,4,8,triangle,warp-per-shift-work-distribution,4_8_triangle,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,800360,1862,4,16,rectangle,warp-per-shift-work-distribution,4_16_rectangle,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,793455,1879,4,16,triangle,warp-per-shift-work-distribution,4_16_triangle,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,3346922,449,16,1,rectangle,warp-per-shift-work-distribution,16_1_rectangle,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,3330910,451,16,1,triangle,warp-per-shift-work-distribution,16_1_triangle,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,939363,1588,16,8,rectangle,warp-per-shift-work-distribution,16_8_rectangle,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,966687,1543,16,8,triangle,warp-per-shift-work-distribution,16_8_triangle,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,780760,1919,16,16,rectangle,warp-per-shift-work-distribution,16_16_rectangle,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,805929,1847,16,16,triangle,warp-per-shift-work-distribution,16_16_triangle,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,3513849,427,32,1,rectangle,warp-per-shift-work-distribution,32_1_rectangle,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,3582883,419,32,1,triangle,warp-per-shift-work-distribution,32_1_triangle,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,968954,1544,32,8,rectangle,warp-per-shift-work-distribution,32_8_rectangle,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,999202,1496,32,8,triangle,warp-per-shift-work-distribution,32_8_triangle,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,794176,1876,32,16,rectangle,warp-per-shift-work-distribution,32_16_rectangle,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,824335,1810,32,16,triangle,warp-per-shift-work-distribution,32_16_triangle,128_128_1_1,32768,128,128,16384,1,1,1x1,one_to_one
0,11743129,100,4,1,triangle,warp-per-shift-work-distribution,4_1_triangle,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
0,4399893,341,4,8,rectangle,warp-per-shift-work-distribution,4_8_rectangle,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
0,4206811,360,4,8,triangle,warp-per-shift-work-distribution,4_8_triangle,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
0,3685469,405,4,16,rectangle,warp-per-shift-work-distribution,4_16_rectangle,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
0,3688767,410,4,16,triangle,warp-per-shift-work-distribution,4_16_triangle,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
0,12089548,100,16,1,triangle,warp-per-shift-work-distribution,16_1_triangle,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
0,4121648,362,16,8,rectangle,warp-per-shift-work-distribution,16_8_rectangle,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
0,4241919,354,16,8,triangle,warp-per-shift-work-distribution,16_8_triangle,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
0,3594862,418,16,16,rectangle,warp-per-shift-work-distribution,16_16_rectangle,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
0,3724146,404,16,16,triangle,warp-per-shift-work-distribution,16_16_triangle,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
0,12975759,100,32,1,triangle,warp-per-shift-work-distribution,32_1_triangle,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
0,4221625,354,32,8,rectangle,warp-per-shift-work-distribution,32_8_rectangle,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
0,4344009,346,32,8,triangle,warp-per-shift-work-distribution,32_8_triangle,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
0,3656544,412,32,16,rectangle,warp-per-shift-work-distribution,32_16_rectangle,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
0,3743503,400,32,16,triangle,warp-per-shift-work-distribution,32_16_triangle,192_192_1_1,73728,192,192,36864,1,1,1x1,one_to_one
0,12790998,100,4,8,rectangle,warp-per-shift-work-distribution,4_8_rectangle,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one
