,Kernel,Kernel_iterations,warps_per_thread_block,shifts_per_thread_right_matrix,left_matrices_per_thread,right_matrices_per_thread,left_rows_per_iteration,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
6,1274331,1255,4,2,1,2,4,multimat-both-multirow-both,4_1_2_2_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
7,1277895,1232,4,2,1,2,4,multimat-both-multirow-both,4_1_2_2_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
8,1279998,1234,4,2,1,2,4,multimat-both-multirow-both,4_1_2_2_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
9,1277523,1236,4,2,1,2,4,multimat-both-multirow-both,4_1_2_2_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
0,1154692,1433,4,4,1,2,1,multimat-both-multirow-both,4_1_2_4_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
1,1262130,1272,4,4,1,2,1,multimat-both-multirow-both,4_1_2_4_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
2,1262667,1268,4,4,1,2,1,multimat-both-multirow-both,4_1_2_4_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
3,1269924,1236,4,4,1,2,1,multimat-both-multirow-both,4_1_2_4_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
4,1271349,1244,4,4,1,2,1,multimat-both-multirow-both,4_1_2_4_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
5,1269840,1244,4,4,1,2,1,multimat-both-multirow-both,4_1_2_4_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
6,1212329,1285,4,4,1,2,1,multimat-both-multirow-both,4_1_2_4_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
7,1247044,1352,4,4,1,2,1,multimat-both-multirow-both,4_1_2_4_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
8,1309995,1212,4,4,1,2,1,multimat-both-multirow-both,4_1_2_4_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
9,1308251,1206,4,4,1,2,1,multimat-both-multirow-both,4_1_2_4_1,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
0,978374,1778,4,4,1,2,2,multimat-both-multirow-both,4_1_2_4_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
1,1088507,1545,4,4,1,2,2,multimat-both-multirow-both,4_1_2_4_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
2,1081388,1505,4,4,1,2,2,multimat-both-multirow-both,4_1_2_4_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
3,1118678,1475,4,4,1,2,2,multimat-both-multirow-both,4_1_2_4_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
4,1118961,1463,4,4,1,2,2,multimat-both-multirow-both,4_1_2_4_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
5,1126071,1426,4,4,1,2,2,multimat-both-multirow-both,4_1_2_4_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
6,1113643,1474,4,4,1,2,2,multimat-both-multirow-both,4_1_2_4_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
7,1104519,1461,4,4,1,2,2,multimat-both-multirow-both,4_1_2_4_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
8,1130419,1439,4,4,1,2,2,multimat-both-multirow-both,4_1_2_4_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
9,1091051,1462,4,4,1,2,2,multimat-both-multirow-both,4_1_2_4_2,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
0,928040,1898,4,4,1,2,4,multimat-both-multirow-both,4_1_2_4_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
1,1045521,1599,4,4,1,2,4,multimat-both-multirow-both,4_1_2_4_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
2,1047801,1561,4,4,1,2,4,multimat-both-multirow-both,4_1_2_4_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
3,1013351,1582,4,4,1,2,4,multimat-both-multirow-both,4_1_2_4_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
4,1065288,1543,4,4,1,2,4,multimat-both-multirow-both,4_1_2_4_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
5,1019024,1562,4,4,1,2,4,multimat-both-multirow-both,4_1_2_4_4,16_16_128_128,65536,16,16,256,128,128,128x128,n_to_m_saturated
