,Kernel,Kernel_iterations,warps_per_thread_block,shifts_per_thread_right_matrix,right_matrices_per_thread,left_rows_per_iteration,num_cuda_streams,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
5,499052890,1,4,1,2,4,1,multimat-right-multirow-both,4_2_1_4,128_128_100_4000,67174400,128,128,16384,100,4000,100x4000,n_to_mn_saturated
6,498658412,1,4,1,2,4,1,multimat-right-multirow-both,4_2_1_4,128_128_100_4000,67174400,128,128,16384,100,4000,100x4000,n_to_mn_saturated
7,498636699,1,4,1,2,4,1,multimat-right-multirow-both,4_2_1_4,128_128_100_4000,67174400,128,128,16384,100,4000,100x4000,n_to_mn_saturated
8,498957054,1,4,1,2,4,1,multimat-right-multirow-both,4_2_1_4,128_128_100_4000,67174400,128,128,16384,100,4000,100x4000,n_to_mn_saturated
9,498608576,1,4,1,2,4,1,multimat-right-multirow-both,4_2_1_4,128_128_100_4000,67174400,128,128,16384,100,4000,100x4000,n_to_mn_saturated
0,406663202,1,4,2,2,1,1,multimat-right-multirow-both,4_2_2_1,128_128_100_4000,67174400,128,128,16384,100,4000,100x4000,n_to_mn_saturated
1,401293662,1,4,2,2,1,1,multimat-right-multirow-both,4_2_2_1,128_128_100_4000,67174400,128,128,16384,100,4000,100x4000,n_to_mn_saturated
2,401827770,1,4,2,2,1,1,multimat-right-multirow-both,4_2_2_1,128_128_100_4000,67174400,128,128,16384,100,4000,100x4000,n_to_mn_saturated
3,401086729,1,4,2,2,1,1,multimat-right-multirow-both,4_2_2_1,128_128_100_4000,67174400,128,128,16384,100,4000,100x4000,n_to_mn_saturated
4,400711801,1,4,2,2,1,1,multimat-right-multirow-both,4_2_2_1,128_128_100_4000,67174400,128,128,16384,100,4000,100x4000,n_to_mn_saturated
5,401590331,1,4,2,2,1,1,multimat-right-multirow-both,4_2_2_1,128_128_100_4000,67174400,128,128,16384,100,4000,100x4000,n_to_mn_saturated
6,402114765,1,4,2,2,1,1,multimat-right-multirow-both,4_2_2_1,128_128_100_4000,67174400,128,128,16384,100,4000,100x4000,n_to_mn_saturated
7,401514426,1,4,2,2,1,1,multimat-right-multirow-both,4_2_2_1,128_128_100_4000,67174400,128,128,16384,100,4000,100x4000,n_to_mn_saturated
8,401390538,1,4,2,2,1,1,multimat-right-multirow-both,4_2_2_1,128_128_100_4000,67174400,128,128,16384,100,4000,100x4000,n_to_mn_saturated
9,401502859,1,4,2,2,1,1,multimat-right-multirow-both,4_2_2_1,128_128_100_4000,67174400,128,128,16384,100,4000,100x4000,n_to_mn_saturated
0,337081301,1,4,2,2,2,1,multimat-right-multirow-both,4_2_2_2,128_128_100_4000,67174400,128,128,16384,100,4000,100x4000,n_to_mn_saturated
1,333599990,1,4,2,2,2,1,multimat-right-multirow-both,4_2_2_2,128_128_100_4000,67174400,128,128,16384,100,4000,100x4000,n_to_mn_saturated
2,333065650,1,4,2,2,2,1,multimat-right-multirow-both,4_2_2_2,128_128_100_4000,67174400,128,128,16384,100,4000,100x4000,n_to_mn_saturated
3,334293089,1,4,2,2,2,1,multimat-right-multirow-both,4_2_2_2,128_128_100_4000,67174400,128,128,16384,100,4000,100x4000,n_to_mn_saturated
4,331795767,1,4,2,2,2,1,multimat-right-multirow-both,4_2_2_2,128_128_100_4000,67174400,128,128,16384,100,4000,100x4000,n_to_mn_saturated
5,330905740,1,4,2,2,2,1,multimat-right-multirow-both,4_2_2_2,128_128_100_4000,67174400,128,128,16384,100,4000,100x4000,n_to_mn_saturated
6,331998424,1,4,2,2,2,1,multimat-right-multirow-both,4_2_2_2,128_128_100_4000,67174400,128,128,16384,100,4000,100x4000,n_to_mn_saturated
7,333668052,1,4,2,2,2,1,multimat-right-multirow-both,4_2_2_2,128_128_100_4000,67174400,128,128,16384,100,4000,100x4000,n_to_mn_saturated
